Stkcd,Stknme,Annctime,Type,Suspdate_start,Susptime,Suspdate_end,Resmdate,Resmtime,Timeperd,Reason,
1,深发展A,2007/7/17,1,2007/7/17,9:30,2007/7/17,2007/7/17,10:30,1,业绩大幅增加公告;;,
1,深发展A,2007/7/20,1,2007/7/20,9:30,2007/7/22,2007/7/23,9:30,4,董事会决议;董事会决议召开临时股东大会的通知;;,
1,深发展A,2007/10/15,1,2007/10/15,9:30,2007/10/15,2007/10/15,10:30,1,业绩大幅增加公告;;,
1,深发展A,2007/12/3,1,2007/12/3,9:30,2007/12/3,2007/12/3,10:30,1,非公开发行预案;,
1,深发展A,2007/12/19,1,2007/12/19,9:30,2007/12/19,2007/12/20,9:30,4,"召开股东大会,召开2007年第三、四次临时股东大会，审议2007年中期利润分配及非公开发行股票方案等议案;",
1,深发展A,2008/1/18,1,2008/1/18,9:30,2008/1/18,2008/1/18,10:30,1,业绩大幅增加公告;,
1,深发展A,2008/3/5,1,2008/3/5,9:30,2008/3/5,2008/3/5,10:30,1,"澄清公告,刊登个别网络媒体上出现关于本行个别案件及再融资等消息的澄清公告;",
1,深发展A,2008/3/20,1,2008/3/20,9:30,2008/3/20,2008/3/20,10:30,1,年度报告;,
1,深发展A,2008/4/15,1,2008/4/15,9:30,2008/4/15,2008/4/15,10:30,1,业绩大幅增加公告;,
1,深发展A,2008/6/12,1,2008/6/12,9:30,2008/6/12,2008/6/13,9:30,4,召开2007年度股东大会，审议利润分配等议案;,
1,深发展A,2008/6/23,1,2008/6/23,9:30,2008/6/23,2008/6/23,10:30,1,刊登2008年中期业绩预增的公告，停牌一小时;;,
1,深发展A,2008/8/21,1,2008/8/21,9:30,2008/8/21,2008/8/21,10:30,1,重大事项,
1,深发展A,2008/10/15,1,2008/10/15,9:30,2008/10/15,2008/10/16,9:30,4,召开股东大会;,
1,深发展A,2009/2/23,1,2009/2/23,13:00,2009/2/24,2009/2/25,9:30,6,复牌公告;,
1,深发展A,2009/2/27,1,2009/2/27,9:30,2009/3/1,2009/3/2,9:30,4,"召开2009年第一次临时股东大会,审议2008年第四季度计提拨备及呆帐核销的议案;",
1,深发展A,2009/5/18,1,2009/5/18,9:30,2009/5/18,2009/5/19,9:30,4,"召开2008年度股东大会,审议2008年度利润分配等议案",
1,深发展A,2009/6/8,1,2009/6/8,9:30,2009/6/14,2009/6/15,9:30,20,"重大事项,临时停牌",
1,深发展A,2009/6/29,1,2009/6/29,9:30,2009/6/29,2009/6/30,9:30,4,"召开2009年第二次临时股东大会,审议非公开发行股票等议案",
1,深发展A,2009/7/31,1,2009/7/31,9:30,2009/8/2,2009/8/3,9:30,4,临时停牌,
1,深发展A,2009/12/25,1,2009/12/25,9:30,2009/12/28,2009/12/29,9:30,8,"临时停牌,其它公告",
1,深发展A,2010/3/1,1,2010/3/1,9:30,2010/3/1,2010/3/2,9:30,4,临时停牌,
1,深发展A,2010/6/17,1,2010/6/17,9:30,2010/6/17,2010/6/18,9:30,4,"召开2009年年度股东大会,审议2009年度利润分配等议案",
1,深发展A,2010/6/30,1,2010/6/30,9:30,2010/9/1,2010/9/2,9:30,184,重大事项,
1,深发展A,2010/9/30,1,2010/9/30,9:30,2010/10/7,2010/10/8,9:30,4,"召开2010年第一次临时股东大会,审议深圳发展银行股份有限公司关于符合上市公司重大资产重组条件等议案",
1,深发展A,2010/12/23,1,2010/12/23,9:30,2010/12/23,2010/12/24,9:30,4,"召开2010年第二次临时股东大会,审议关于选举深圳发展银行股份有限公司第八届董事会独立董事等议案",
1,深发展A,2011/5/9,1,2011/5/9,9:30,2011/5/12,2011/5/13,9:30,16,重大事项,
1,深发展A,2011/5/25,1,2011/5/25,9:30,2011/5/25,2011/5/26,9:30,4,召开股东大会,
1,深发展A,2011/8/17,1,2011/8/17,9:30,2011/8/17,2011/8/18,9:30,4,重大事项,
1,深发展A,2011/9/2,1,2011/9/2,9:30,2011/9/4,2011/9/5,9:30,4,召开股东大会,
1,深发展A,2011/12/6,1,2011/12/6,9:30,2011/12/6,2011/12/7,9:30,4,召开股东大会,
1,深发展A,2012/1/10,1,2012/1/10,9:30,2012/1/19,2012/1/20,9:30,32,"临时停牌,重大事项",
1,深发展A,2012/2/9,1,2012/2/9,9:30,2012/2/9,2012/2/10,9:30,4,召开股东大会,
1,深发展A,2012/5/23,1,2012/5/23,9:30,2012/5/23,2012/5/24,9:30,4,召开股东大会,
1,平安银行,2013/9/6,1,2013/9/6,9:30,2013/9/8,2013/9/9,9:30,4,重大事项,
1,平安银行,2014/7/15,1,2014/7/15,9:30,2014/7/15,2014/7/16,9:30,4,重大事项,
2,万科A,2003/3/18,1,2003/3/18,9:30,2003/3/18,2003/3/18,10:30,1,年度报告等;,
2,万科A,2003/4/22,1,2003/4/22,9:30,2003/4/22,2003/4/23,9:30,4,因召开股东大会;;,
2,万科A,2003/4/23,1,2003/4/23,9:30,2003/4/23,2003/4/23,10:30,1,第一季报等;,
2,万科A,2003/6/17,1,2003/6/17,9:30,2003/6/17,2003/6/17,10:30,1,董事会决议召开临时股东大会的通知等;,
2,万科A,2003/6/30,1,2003/6/30,9:30,2003/6/30,2003/6/30,10:30,1,收购报告书摘要等;,
2,万科A,2003/7/11,1,2003/7/11,9:30,2003/7/11,2003/7/11,10:30,1,被收购公司董事会报告书等;,
2,万科A,2003/7/25,1,2003/7/25,9:30,2003/7/25,2003/7/25,10:30,1,上市公司收购报告书等;,
2,万科A,2003/7/29,1,2003/7/29,9:30,2003/7/29,2003/7/29,10:30,1,中期报告等;,
