stockid,event_window_str,date,eventdate,relative_day_raw,relative_day_adj,est_window_start,est_window_end,est_window_length,event_window_start,event_window_end,event_window_length,AR,var_AR,df,Std. E. AR,CAR,Std. E. CAR,CAR_T-stat,CAR_P-value
600028,"[-2,10]",2026-02-26,2026-02-28,-2,-2,2025-08-02,2026-02-18,200,2026-02-26,2026-03-10,13,-0.004906828471228956,0.00014675044041045118,198.0,0.012114059617256768,-0.004906828471228956,0.012114059617256768,-0.40505236281312845,0.6858763040519107
600028,"[-2,10]",2026-02-27,2026-02-28,-1,-1,2025-08-02,2026-02-18,200,2026-02-26,2026-03-10,13,-0.004729705800162504,0.00014675044041045118,198.0,0.012114059617256768,-0.00963653427139146,0.017131867406120747,-0.562491761286256,0.5744173001495687
600028,"[-2,10]",2026-03-02,2026-02-28,2,0,2025-08-02,2026-02-18,200,2026-02-26,2026-03-10,13,0.09957131219377777,0.00014675044041045118,198.0,0.012114059617256768,0.0899347779223863,0.020982166743007107,4.286248366239849,2.8356816482721925e-05
600028,"[-2,10]",2026-03-03,2026-02-28,3,1,2025-08-02,2026-02-18,200,2026-02-26,2026-03-10,13,0.10129962934881892,0.00014675044041045118,198.0,0.012114059617256768,0.19123440727120522,0.024228119234513536,7.893076859172264,1.971756091734278e-13
600028,"[-2,10]",2026-03-04,2026-02-28,4,2,2025-08-02,2026-02-18,200,2026-02-26,2026-03-10,13,-0.052778604837697654,0.00014675044041045118,198.0,0.012114059617256768,0.13845580243350758,0.027087860787671215,5.111359790232104,7.511886621625052e-07
600028,"[-2,10]",2026-03-05,2026-02-28,5,3,2025-08-02,2026-02-18,200,2026-02-26,2026-03-10,13,-0.051820236731439526,0.00014675044041045118,198.0,0.012114059617256768,0.08663556570206804,0.029673264775934363,2.9196506133134124,0.003910334828834294
600028,"[-2,10]",2026-03-06,2026-02-28,6,4,2025-08-02,2026-02-18,200,2026-02-26,2026-03-10,13,-0.022244448033173228,0.00014675044041045118,198.0,0.012114059617256768,0.06439111766889481,0.032050789114671706,2.009033769449965,0.04589162226657484
600028,"[-2,10]",2026-03-09,2026-02-28,9,5,2025-08-02,2026-02-18,200,2026-02-26,2026-03-10,13,0.018139604586348782,0.00014675044041045118,198.0,0.012114059617256768,0.08253072225524359,0.03426373481224149,2.408690199929916,0.01692606402322916
600028,"[-2,10]",2026-03-10,2026-02-28,10,6,2025-08-02,2026-02-18,200,2026-02-26,2026-03-10,13,-0.06507296410580493,0.00014675044041045118,198.0,0.012114059617256768,0.01745775814943866,0.0363421788517703,0.48037180766304705,0.6314933370698164
600028,"[-2,10]",2026-03-11,2026-02-28,11,7,2025-08-02,2026-02-18,200,2026-02-26,2026-03-10,13,-0.00899807937081342,0.00014675044041045118,198.0,0.012114059617256768,0.008459678778625239,0.038308020101598984,0.22083309855713817,0.8254499438528466
600028,"[-2,10]",2026-03-12,2026-02-28,12,8,2025-08-02,2026-02-18,200,2026-02-26,2026-03-10,13,-0.00776608064586963,0.00014675044041045118,198.0,0.012114059617256768,0.0006935981327556087,0.04017779043843704,0.017263222421809974,0.9862440085107882
600028,"[-2,10]",2026-03-13,2026-02-28,13,9,2025-08-02,2026-02-18,200,2026-02-26,2026-03-10,13,-0.020167348305051375,0.00014675044041045118,198.0,0.012114059617256768,-0.019473750172295766,0.041964333486014214,-0.4640547949793111,0.6431182789200491
600028,"[-2,10]",2026-03-16,2026-02-28,16,10,2025-08-02,2026-02-18,200,2026-02-26,2026-03-10,13,-0.0006193284625046963,0.00014675044041045118,198.0,0.012114059617256768,-0.020093078634800463,0.04367786310404694,-0.4600288843558089,0.6460002486288059
600028,"[-3,3]",2026-02-25,2026-02-28,-3,-3,2025-08-02,2026-02-18,200,2026-02-25,2026-03-03,7,-0.010450922618634558,0.00014675044041045118,198.0,0.012114059617256768,-0.010450922618634558,0.012114059617256768,-0.8627101854234701,0.3893405550797877
600028,"[-3,3]",2026-02-26,2026-02-28,-2,-2,2025-08-02,2026-02-18,200,2026-02-25,2026-03-03,7,-0.004906828471228956,0.00014675044041045118,198.0,0.012114059617256768,-0.015357751089863515,0.017131867406120747,-0.8964434947924365,0.3711045553723329
600028,"[-3,3]",2026-02-27,2026-02-28,-1,-1,2025-08-02,2026-02-18,200,2026-02-25,2026-03-03,7,-0.004729705800162504,0.00014675044041045118,198.0,0.012114059617256768,-0.020087456890026018,0.020982166743007107,-0.9573585576771152,0.3395537911939952
600028,"[-3,3]",2026-03-02,2026-02-28,2,0,2025-08-02,2026-02-18,200,2026-02-25,2026-03-03,7,0.09957131219377777,0.00014675044041045118,198.0,0.012114059617256768,0.07948385530375175,0.024228119234513536,3.28064487938152,0.0012238476093777706
600028,"[-3,3]",2026-03-03,2026-02-28,3,1,2025-08-02,2026-02-18,200,2026-02-25,2026-03-03,7,0.10129962934881892,0.00014675044041045118,198.0,0.012114059617256768,0.18078348465257066,0.027087860787671215,6.673966839598222,2.4427038169960724e-10
600028,"[-3,3]",2026-03-04,2026-02-28,4,2,2025-08-02,2026-02-18,200,2026-02-25,2026-03-03,7,-0.052778604837697654,0.00014675044041045118,198.0,0.012114059617256768,0.12800487981487302,0.029673264775934363,4.313811802693435,2.530892834329279e-05
600028,"[-3,3]",2026-03-05,2026-02-28,5,3,2025-08-02,2026-02-18,200,2026-02-25,2026-03-03,7,-0.051820236731439526,0.00014675044041045118,198.0,0.012114059617256768,0.07618464308343349,0.032050789114671706,2.37699742152554,0.018407086706738074
600938,"[-2,10]",2026-02-26,2026-02-28,-2,-2,2025-08-02,2026-02-18,200,2026-02-26,2026-03-10,13,-0.02555522902862979,0.00024288791251568872,198.0,0.015584861645702497,-0.02555522902862979,0.015584861645702497,-1.639746929397773,0.1026455881812578
600938,"[-2,10]",2026-02-27,2026-02-28,-1,-1,2025-08-02,2026-02-18,200,2026-02-26,2026-03-10,13,0.011709832941615152,0.00024288791251568872,198.0,0.015584861645702497,-0.01384539608701464,0.022040322707060744,-0.628184817029888,0.5306067786317339
600938,"[-2,10]",2026-03-02,2026-02-28,2,0,2025-08-02,2026-02-18,200,2026-02-26,2026-03-10,13,0.09716696114945304,0.00024288791251568872,198.0,0.015584861645702497,0.0833215650624384,0.02699377219928823,3.0866958662648645,0.002313941440402756
600938,"[-2,10]",2026-03-03,2026-02-28,3,1,2025-08-02,2026-02-18,200,2026-02-26,2026-03-10,13,0.10605173031299997,0.00024288791251568872,198.0,0.015584861645702497,0.18937329537543837,0.031169723291404994,6.075552663878084,6.225035154017178e-09
600938,"[-2,10]",2026-03-04,2026-02-28,4,2,2025-08-02,2026-02-18,200,2026-02-26,2026-03-10,13,-0.008771186457279135,0.00024288791251568872,198.0,0.015584861645702497,0.18060210891815923,0.03484881005972002,5.18244693602632,5.37889479179654e-07
600938,"[-2,10]",2026-03-05,2026-02-28,5,3,2025-08-02,2026-02-18,200,2026-02-26,2026-03-10,13,-0.034842219056090314,0.00024288791251568872,198.0,0.015584861645702497,0.14575988986206892,0.038174958743843225,3.818206873257637,0.00017975514521051394
600938,"[-2,10]",2026-03-06,2026-02-28,6,4,2025-08-02,2026-02-18,200,2026-02-26,2026-03-10,13,-0.029100257730432406,0.00024288791251568872,198.0,0.015584861645702497,0.11665963213163652,0.041233668131877635,2.8292324553450845,0.005146395563340622
600938,"[-2,10]",2026-03-09,2026-02-28,9,5,2025-08-02,2026-02-18,200,2026-02-26,2026-03-10,13,0.07418476718537548,0.00024288791251568872,198.0,0.015584861645702497,0.190844399317012,0.04408064541412149,4.3294375008373605,2.3723229954697445e-05
600938,"[-2,10]",2026-03-10,2026-02-28,10,6,2025-08-02,2026-02-18,200,2026-02-26,2026-03-10,13,-0.0619694970829325,0.00024288791251568872,198.0,0.015584861645702497,0.1288749022340795,0.04675458493710749,2.756412069691928,0.00638993820255962
600938,"[-2,10]",2026-03-11,2026-02-28,11,7,2025-08-02,2026-02-18,200,2026-02-26,2026-03-10,13,0.014946651896811746,0.00024288791251568872,198.0,0.015584861645702497,0.14382155413089123,0.049283659819020005,2.9182401359605663,0.003927323651268022
600938,"[-2,10]",2026-03-12,2026-02-28,12,8,2025-08-02,2026-02-18,200,2026-02-26,2026-03-10,13,0.03020289983640659,0.00024288791251568872,198.0,0.015584861645702497,0.17402445396729782,0.05168913848839595,3.3667509085369214,0.0009136959156677005
600938,"[-2,10]",2026-03-13,2026-02-28,13,9,2025-08-02,2026-02-18,200,2026-02-26,2026-03-10,13,-0.02259381228765822,0.00024288791251568872,198.0,0.015584861645702497,0.1514306416796396,0.05398754439857646,2.8049181226259385,0.005534695469428641
600938,"[-2,10]",2026-03-16,2026-02-28,16,10,2025-08-02,2026-02-18,200,2026-02-26,2026-03-10,13,-0.020200468263899728,0.00024288791251568872,198.0,0.015584861645702497,0.1312301734157399,0.05619201778459244,2.335388167031128,0.020524380416736765
600938,"[-3,3]",2026-02-25,2026-02-28,-3,-3,2025-08-02,2026-02-18,200,2026-02-25,2026-03-03,7,-0.026229983964721898,0.00024288791251568872,198.0,0.015584861645702497,-0.026229983964721898,0.015584861645702497,-1.6830424652473432,0.09394295994900248
600938,"[-3,3]",2026-02-26,2026-02-28,-2,-2,2025-08-02,2026-02-18,200,2026-02-25,2026-03-03,7,-0.02555522902862979,0.00024288791251568872,198.0,0.015584861645702497,-0.05178521299335169,0.022040322707060744,-2.349566913408305,0.019780007707275393
600938,"[-3,3]",2026-02-27,2026-02-28,-1,-1,2025-08-02,2026-02-18,200,2026-02-25,2026-03-03,7,0.011709832941615152,0.00024288791251568872,198.0,0.015584861645702497,-0.04007538005173654,0.02699377219928823,-1.484615775663738,0.13923588776314677
600938,"[-3,3]",2026-03-02,2026-02-28,2,0,2025-08-02,2026-02-18,200,2026-02-25,2026-03-03,7,0.09716696114945304,0.00024288791251568872,198.0,0.015584861645702497,0.057091581097716504,0.031169723291404994,1.831635801318115,0.06850823381121507
600938,"[-3,3]",2026-03-03,2026-02-28,3,1,2025-08-02,2026-02-18,200,2026-02-25,2026-03-03,7,0.10605173031299997,0.00024288791251568872,198.0,0.015584861645702497,0.16314331141071647,0.03484881005972002,4.681460030662154,5.2774373475728e-06
