event_window_str,relative_day_adj,AAR,Std. E. AAR,AAR_T-stat,AAR_P-value,Median_AR,Wilcoxon_Z_Median_AR,Wilcoxon_Z_Median_AR_P-value,Positive_AR(%),Negative_AR(%),Sign_Z_Positive_AR,Sign_Z_Positive_AR_P-value,ACAR,Std. E. ACAR,ACAR_T-stat,ACAR_P-value,Median_CAR,Wilcoxon_Z_Median_CAR,Wilcoxon_Z_Median_CAR_P-value,Positive_CAR(%),Negative_CAR(%),Sign_Z_Positive_CAR,Sign_Z_Positive_CAR_P-value,CAAR,Std. E. CAAR,CAAR_T-stat,CAAR_P-value,N_Events
"[-2,10]",-2,-0.013553400629849449,0.008116301811224434,-1.6698985504833965,0.09546627657133122,-0.010198144389689592,-1.6035674514745464,0.10880943004054577,0.0,100.0,-1.7320508075688774,0.08326451666355039,-0.013553400629849449,0.008116301811224434,-1.6698985504833965,0.09546627657133122,-0.010198144389689592,-1.6035674514745464,0.10880943004054577,0.0,100.0,-1.7320508075688774,0.08326451666355039,-0.013553400629849449,0.008116301811224434,-1.6698985504833965,0.09546627657133122,3
"[-2,10]",-1,0.001132597875446593,0.008116301811224434,0.13954605210469964,0.889065968070037,-0.0035823335151128695,0.0,1.0,33.33333333333333,66.66666666666666,-0.5773502691896261,0.5637028616507727,-0.012420802754402854,0.01147818409774691,-1.0821226292093515,0.2796371376274758,-0.013780477904802461,-1.6035674514745464,0.10880943004054577,0.0,100.0,-1.7320508075688774,0.08326451666355039,-0.012420802754402856,0.01147818409774691,-1.0821226292093515,0.2794176381407949,3
"[-2,10]",0,0.09832978274476427,0.008116301811224434,12.11509687931752,0.0,0.09825107489106201,-1.6035674514745464,0.10880943004054577,100.0,0.0,1.7320508075688774,0.08326451666355039,0.08590897999036141,0.014057847106604023,6.111105017638407,1.791430781494796e-09,0.08447059698625956,-1.6035674514745464,0.10880943004054577,100.0,0.0,1.7320508075688774,0.08326451666355039,0.08590897999036141,0.014057847106604023,6.111105017638407,1.2124070636332362e-09,3
"[-2,10]",1,0.1030220790047438,0.008116301811224434,12.693229182565574,0.0,0.10171487735241254,-1.6035674514745464,0.10880943004054577,100.0,0.0,1.7320508075688774,0.08326451666355039,0.1889310589951052,0.01623260362244887,11.638986781752196,0.0,0.18937329537543837,-1.6035674514745464,0.10880943004054577,100.0,0.0,1.7320508075688774,0.08326451666355039,0.1889310589951052,0.01623260362244887,11.638986781752196,0.0,3
"[-2,10]",2,-0.018036764197157343,0.008116301811224434,-2.222288502408007,0.026639661382365176,-0.008771186457279135,-1.0690449676496976,0.28504940740261286,33.33333333333333,66.66666666666666,-0.5773502691896261,0.5637028616507727,0.1708942947979479,0.0181486025758025,9.41638862188767,0.0,0.18060210891815923,-1.6035674514745464,0.10880943004054577,100.0,0.0,1.7320508075688774,0.08326451666355039,0.17089429479794788,0.0181486025758025,9.416388621887668,0.0,3
"[-2,10]",3,-0.04379342188438356,0.008116301811224434,-5.395736001810514,9.870869477346389e-08,-0.04471780986562082,-1.6035674514745464,0.10880943004054577,0.0,100.0,-1.7320508075688774,0.08326451666355039,0.12710087291356434,0.01988079803592678,6.39314743220464,3.28997273868481e-10,0.14575988986206892,-1.6035674514745464,0.10880943004054577,100.0,0.0,1.7320508075688774,0.08326451666355039,0.1271008729135643,0.01988079803592678,6.393147432204638,1.835795959692632e-10,3
"[-2,10]",4,-0.028000743803447747,0.008116301811224434,-3.449938710352557,0.0006004746253513993,-0.029100257730432406,-1.6035674514745464,0.10880943004054577,0.0,100.0,-1.7320508075688774,0.08326451666355039,0.09910012911011658,0.021473716158042958,4.6149501269717925,4.820579269759762e-06,0.11624963752981843,-1.6035674514745464,0.10880943004054577,100.0,0.0,1.7320508075688774,0.08326451666355039,0.09910012911011656,0.021473716158042958,4.614950126971792,4.050388414666983e-06,3
"[-2,10]",5,0.04766962317246363,0.008116301811224434,5.87331820343829,7.114325129009558e-09,0.050684497745666635,-1.6035674514745464,0.10880943004054577,100.0,0.0,1.7320508075688774,0.08326451666355039,0.14676975228258024,0.02295636819549382,6.39342212290314,3.284446048468226e-10,0.16693413527548506,-1.6035674514745464,0.10880943004054577,100.0,0.0,1.7320508075688774,0.08326451666355039,0.1467697522825802,0.02295636819549382,6.393422122903139,1.7778112315625094e-10,3
"[-2,10]",6,-0.06758106072894872,0.008116301811224434,-8.326583005512132,4.440892098500626e-16,-0.06507296410580493,-1.6035674514745464,0.10880943004054577,0.0,100.0,-1.7320508075688774,0.08326451666355039,0.07918869155363151,0.024348905433673303,3.2522485156198258,0.0012098480494557862,0.09123341427737636,-1.6035674514745464,0.10880943004054577,100.0,0.0,1.7320508075688774,0.08326451666355039,0.07918869155363148,0.024348905433673303,3.2522485156198244,0.0011520648182499205,3
"[-2,10]",7,0.005019038817031753,0.008116301811224434,0.6183898693972514,0.5365554164569737,0.009108543925096933,-1.0690449676496976,0.28504940740261286,66.66666666666666,33.33333333333333,0.5773502691896253,0.5637028616507735,0.08420773037066326,0.02566599990081918,3.2809058948050414,0.0010953607162380585,0.1003419582024733,-1.6035674514745464,0.10880943004054577,100.0,0.0,1.7320508075688774,0.08326451666355039,0.08420773037066323,0.02566599990081918,3.28090589480504,0.001040712301105362,3
